"","source","target","Edge Weight"
"570","mairee77","wisaflcio",1
"571","mairee77","Progress2day",1
"572","mairee77","PolitiScoop",1
"573","mairee77","cr8f",1
"574","mairee77","SpudLovr",1
"575","jackxconway","davecatanese",1
"576","Our4thEstate","ranman09",1
"577","KurtzLR","ranman09",1
"578","ranman09","theonlyadult",1
"579","ranman09","animalfriend1",1
"580","ranman09","Our4thEstate",1
"581","animalfriend1","ranman09",1
"582","PeggyStuart","ranman09",1
"583","Our4thEstate","418829",1
"584","stefsstuff","418829",1
"585","418829","wi_defender",1
"586","418829","superbranch",1
"587","418829","TheDailyEdge",1
"588","418829","AngryBlackLady",1
"589","gnuman1979","418829",1
"590","TheDailyEdge","418829",1
"591","Twitlertwit","418829",1
"592","PeggyStuart","418829",1
"593","hobmel","wisaflcio",1
"594","hobmel","PeggyStuart",1
"595","PeggyStuart","hobmel",1
"596","SpiritOfMadison","Olgold96",1
"597","jwigderson","Olgold96",1
"598","CarterFliptMe","Olgold96",1
"599","wijim500","Olgold96",1
"600","MadPolitics","Olgold96",1
"601","AmyKremer","Olgold96",1
"602","Olgold96","brooksbayne",1
"603","Olgold96","AmyKremer",1
"604","Olgold96","TheFlaCracker",1
"605","Olgold96","Twin66",1
"606","Olgold96","nonsumdignus",1
"607","Olgold96","MacIverWisc",1
"608","Olgold96","CarterFliptMe",1
"609","Olgold96","SpiritOfMadison",1
"610","Olgold96","WI4Palin",1
"611","Olgold96","WIFamilyAction",1
"612","Olgold96","MadPolitics",1
"613","Olgold96","wijim500",1
"614","Olgold96","Tamra4Senate",1
"615","Olgold96","jwigderson",1
"616","Olgold96","BadgerNative",1
"617","Olgold96","BenjaminSparks",1
"618","Olgold96","John_Monahan",1
"619","Olgold96","lakemillsright",1
"620","Olgold96","dikSjoberg",1
"621","Olgold96","MadBadgerMom",1
"622","Olgold96","karen32862",1
"623","MCNETHJ","Olgold96",1
"624","John_Monahan","Olgold96",1
"625","nonsumdignus","Olgold96",1
"626","Twin66","Olgold96",1
"627","tonykatz","Olgold96",1
"628","TheFlaCracker","Olgold96",1
"629","WIFamilyAction","Olgold96",1
"630","1_Eagle","Olgold96",1
"631","brooksbayne","Olgold96",1
"632","dikSjoberg","Olgold96",1
"633","MadBadgerMom","Olgold96",1
"634","jillbader","BridgerCO",1
"635","danstrnad","BridgerCO",1
"636","MadPolitics","BridgerCO",1
"637","AmyKremer","BridgerCO",1
"638","Tamra4Senate","BridgerCO",1
"639","ballotpedia","BridgerCO",1
"640","BridgerCO","jillbader",1
"641","BridgerCO","MacIverWisc",1
"642","BridgerCO","news3jessica",1
"643","BridgerCO","AmyKremer",1
"644","BridgerCO","ballotpedia",1
"645","BridgerCO","BadgerNative",1
"646","BridgerCO","danstrnad",1
"647","BridgerCO","MadPolitics",1
"648","BridgerCO","WIFamilyAction",1
"649","BridgerCO","jrios68",1
"650","BadgerNative","BridgerCO",1
"651","WIFamilyAction","BridgerCO",1
"652","MacIverWisc","BridgerCO",1
"653","TwittaChicca","freegalt",1
"654","freegalt","TwittaChicca",1
"655","ToConservatives","Greedsakiller",1
"656","Greedsakiller","ToConservatives",1
"657","Greedsakiller","GiniCoefficien1",1
"658","PeggyStuart","Greedsakiller",1
"659","GiniCoefficien1","Greedsakiller",1
"660","AmericanAwaken","dementednetman",1
"661","dementednetman","AmericanAwaken",1
"662","dementednetman","prwatch",1
"663","mayread3","dementednetman",1
"664","prwatch","dementednetman",1
"665","GiniCoefficien1","dementednetman",1
"666","AmericanAwaken","prwatch",1
"667","polymath22","AmericanAwaken",1
"668","prwatch","AmericanAwaken",1
"669","GiniCoefficien1","AmericanAwaken",1
"670","ClarksonChuck","yikesks",1
"671","txmattie","yikesks",1
"672","WeRWisconsin","yikesks",1
"673","KurtzLR","yikesks",1
"674","stefsstuff","yikesks",1
"675","shivabeach","yikesks",1
"676","gnuman1979","yikesks",1
"677","TheDailyEdge","yikesks",1
"678","yikesks","bluecheddar1",1
"679","yikesks","news3jessica",1
"680","yikesks","AngryBlackLady",1
"681","yikesks","CoffeeBean26",1
"682","yikesks","TheDailyEdge",1
"683","yikesks","PolitiScoop",1
"684","yikesks","KurtzLR",1
"685","yikesks","unkybunky",1
"686","yikesks","superbranch",1
"687","yikesks","shivabeach",1
"688","yikesks","stefsstuff",1
